No.,Response ID,Timestamp,Finished,Survey ID,Formbricks ID (internal),User ID,Notes,Tags,url,country,userAgent - os,userAgent - device,userAgent - browser,1. Idade / Age,2. Acreditas que algumas imagens e ícones devem ser perfeitas para agradar a Deus? — Do you belive that some images and icons must to be perfect in order to please God?,2. Acreditas que algumas imagens e ícones devem ser perfeitas para agradar a Deus? — Do you belive that some images and icons must to be perfect in order to please God? - Option ID,"3. Tu evitas reverências às imagens de Jesus Cristo, da Santíssima Virgem e demais santos se essas imagens são geradas por inteligência artificial? — Do you avoid revering images of Jesus Christ, the Blessed Virgin and other saints if these images are generated by artificial intelligence?","3. Tu evitas reverências às imagens de Jesus Cristo, da Santíssima Virgem e demais santos se essas imagens são geradas por inteligência artificial? — Do you avoid revering images of Jesus Christ, the Blessed Virgin and other saints if these images are generated by artificial intelligence? - Option ID","4. Posso, posteriormente, entrar em contato mediante necessidade? — Can I contact you later if I need to?","4. Posso, posteriormente, entrar em contato mediante necessidade? — Can I contact you later if I need to? - Option ID",5. Contato / Contact
1,cm857e8of04e2ju0354uk71s8,2025-03-12 00:50:21,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,17,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,José
2,cm853wxyw0746k0038hhus2wn,2025-03-11 23:12:55,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Samsung Internet,20,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Depende / It depends,bprlqpj1h714313m6zj7mdtu,Não / No,r1610hekbnrnp5ocknhvskhh,Pedro Lucas
3,cm850ngbz08r5l503yswijeoe,2025-03-11 21:41:33,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Samsung Internet,19,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Depende / It depends,bprlqpj1h714313m6zj7mdtu,Sim / Yes,h65fzkszbho0e3bid57orgmb,wallesca
4,cm84vm6f101tqlb034fykc8xt,2025-03-11 19:20:36,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,23,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Maria Clara
5,cm84uah4b0f21js032ty2xjya,2025-03-11 18:43:30,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,25,Não sei / I don't know,ho8qh8dk1s24esnpin7o8u0f,Depende / It depends,bprlqpj1h714313m6zj7mdtu,Não / No,r1610hekbnrnp5ocknhvskhh,Matheus
6,cm84rzmg00bl4js03hpicjvsa,2025-03-11 17:39:05,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,22,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Não / No,r1610hekbnrnp5ocknhvskhh,Adão
7,cm84rh02h01dqjy03yzhce7ko,2025-03-11 17:24:36,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,iOS,mobile,Mobile Safari,23,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Não / No,r1610hekbnrnp5ocknhvskhh,Luca
8,cm84r82wz0fbfl103l4y31r2x,2025-03-11 17:17:40,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Samsung Internet,27,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Depende / It depends,bprlqpj1h714313m6zj7mdtu,Sim / Yes,h65fzkszbho0e3bid57orgmb,Raul
9,cm84r4sua07yzl403x212e23h,2025-03-11 17:15:07,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Samsung Internet,20,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Depende / It depends,bprlqpj1h714313m6zj7mdtu,Não / No,r1610hekbnrnp5ocknhvskhh,Mateus
10,cm84qzgdw0g2yih037tioxooo,2025-03-11 17:10:57,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,iOS,mobile,Mobile Safari,23,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Não / No,qy4lavxy08ii7ybj19apxkrc,Sim / Yes,h65fzkszbho0e3bid57orgmb,Mateus
11,cm84qyibt0765l403yb5cdnou,2025-03-11 17:10:13,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,30,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Marlon
12,cm84qxrcj03evl803derqpn9j,2025-03-11 17:09:38,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,20,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Gabriela
13,cm84qqjmc02acju035svc0de8,2025-03-11 17:04:02,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Windows,desktop,Chrome,22,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Davi
14,cm84qofn00fctih03w32iai2c,2025-03-11 17:02:23,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Samsung Internet,20,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Depende / It depends,bprlqpj1h714313m6zj7mdtu,Sim / Yes,h65fzkszbho0e3bid57orgmb,Maria Beatriz
15,cm84qku7e0dbbl1031oyw2kyk,2025-03-11 16:59:35,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,20,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Não / No,qy4lavxy08ii7ybj19apxkrc,Sim / Yes,h65fzkszbho0e3bid57orgmb,Matheus
16,cm84qkanv04i2lb037hq5gi47,2025-03-11 16:59:10,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Windows,desktop,Chrome,18,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Letícia
17,cm84qatqf06h8js03i2ln9oy0,2025-03-11 16:51:48,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,25,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Mariana
18,cm84q8jhv061djs032u3jndxv,2025-03-11 16:50:02,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Windows,desktop,Chrome,21,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Gustavo
19,cm84q86sp05zpjs03llwbleo0,2025-03-11 16:49:45,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,21,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Não / No,qy4lavxy08ii7ybj19apxkrc,Sim / Yes,h65fzkszbho0e3bid57orgmb,Dandara Santos
20,cm84q6i8900b7ju03r5ketm93,2025-03-11 16:48:27,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,19,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Aline
21,cm84pnigm0152l803jnssv1jw,2025-03-11 16:33:40,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,25,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Depende / It depends,bprlqpj1h714313m6zj7mdtu,Sim / Yes,h65fzkszbho0e3bid57orgmb,João
22,cm84lqui606pjlc03vg54rvrc,2025-03-11 14:44:18,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,22,Não / No,w7g52h4b9pkfk6kaxbr0vnd6,Depende / It depends,bprlqpj1h714313m6zj7mdtu,Sim / Yes,h65fzkszbho0e3bid57orgmb,Lucca Giardino Scuracchio
23,cm84l8gm005oxjw03ed34xotn,2025-03-11 14:30:00,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Mobile Chrome,19,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Thomaz
24,cm84l76ea06k0jy03vlfwrd4c,2025-03-11 14:29:00,Yes,cm84i4r2s0001l103297gilop,,,,,https://app.formbricks.com/s/cm84i4r2s0001l103297gilop,BR,Android,mobile,Samsung Internet,19,Sim / Yes,rreadk21v7g7k8cl6h3vgatt,Sim / Yes,p7vfswqzv3feaslcdtdppw4o,Sim / Yes,h65fzkszbho0e3bid57orgmb,Raissa
